"","Year","Council","Frequency","Man / Boy","Woman / Girl","Identified in another way","Refused","16-39","40-64","65+","All"
"1","2013","Aberdeen City","Once or more times a week","44.7","40.9","-","-","41.3","43.6","44.8","42.8"
"2","2013","Aberdeenshire","Once or more times a week","58.9","63.5","-","-","60.3","63.4","57.4","61.2"
"3","2013","Angus","Once or more times a week","56.8","56.3","-","-","56.3","57.9","54.7","56.6"
"4","2013","Argyll & Bute","Once or more times a week","58.6","54.4","-","-","61.5","56.8","50.5","56.4"
"5","2013","Clackmannanshire","Once or more times a week","45.8","41","-","-","57.6","39.3","28.3","43.3"
"6","2013","Dumfries & Galloway","Once or more times a week","48.8","48.7","-","-","*","51.3","47.1","48.7"
"7","2013","Dundee City","Once or more times a week","33.9","27.3","-","-","35.8","23.6","30.9","30.4"
"8","2013","East Ayrshire","Once or more times a week","52","52.3","-","-","*","57.4","40.5","52.1"
"9","2013","East Dunbartonshire","Once or more times a week","42.5","40","-","-","47.4","42.7","30.3","41.2"
"10","2013","East Lothian","Once or more times a week","45.3","43.6","-","-","44.2","50","33.3","44.4"
"11","2013","East Renfrewshire","Once or more times a week","71.7","51","-","-","68.2","63.9","44","60.7"
"12","2013","Edinburgh, City of","Once or more times a week","42.1","41.2","-","-","41.7","41.2","42.7","41.7"
"13","2013","Falkirk","Once or more times a week","38.8","31.7","-","-","42.3","33.9","26.3","35.1"
"14","2013","Fife","Once or more times a week","41.7","42.5","-","-","48","44.2","28.7","42.1"
"15","2013","Glasgow City","Once or more times a week","41","35.6","-","-","44.8","34.2","30","38.2"
"16","2013","Highland","Once or more times a week","64.9","66.9","-","-","75","70.8","44.4","65.9"
"17","2013","Inverclyde","Once or more times a week","45.6","37.9","-","-","49.3","40.4","32.3","41.5"
"18","2013","Midlothian","Once or more times a week","53.6","43.6","-","-","54.8","49.8","35.7","48.4"
"19","2013","Moray","Once or more times a week","48.1","61.4","-","-","52.7","66","37.3","54.9"
"20","2013","Na h-Eileanan Siar","Once or more times a week","66.8","57.9","-","-","72","67.8","42.7","62.2"
"21","2013","North Ayrshire","Once or more times a week","52.9","53.4","-","-","54.7","53.7","50","53.2"
"22","2013","North Lanarkshire","Once or more times a week","38.1","36.4","-","-","45.3","36.7","22.4","37.2"
"23","2013","Orkney Islands","Once or more times a week","67.6","69.6","-","-","84.3","66.8","52.3","68.7"
"24","2013","Perth & Kinross","Once or more times a week","56.5","59.1","-","-","57.3","69.2","39.3","57.8"
"25","2013","Renfrewshire","Once or more times a week","44.6","36.3","-","-","36.8","45.6","35.2","40.2"
"26","2013","Scotland","Once or more times a week","47.4","45.2","-","-","49","47.6","38.4","46.2"
"27","2013","Scottish Borders","Once or more times a week","56.8","52","-","-","53.1","58.7","48","54.3"
"28","2013","Shetland Islands","Once or more times a week","69.1","60.9","-","-","75","64.3","48.7","65"
"29","2013","South Ayrshire","Once or more times a week","66.1","67.9","-","-","75.5","69.4","53.8","67.1"
"30","2013","South Lanarkshire","Once or more times a week","35","45.1","-","-","47.2","39.5","30.7","40.3"
"31","2013","Stirling","Once or more times a week","54.4","44.1","-","-","53.5","52.6","34.5","49"
"32","2013","West Dunbartonshire","Once or more times a week","40.9","35.9","-","-","39.2","33.2","47.8","38.2"
"33","2013","West Lothian","Once or more times a week","54.1","37","-","-","51.2","44.5","34.9","45.3"
"34","2013","Aberdeen City","At least once a month","19.7","21.5","-","-","22.7","21.3","13.7","20.6"
"35","2013","Aberdeenshire","At least once a month","14.9","10.2","-","-","8.5","16.1","10.4","12.5"
"36","2013","Angus","At least once a month","25.3","17.1","-","-","29.7","17.4","16.4","21"
"37","2013","Argyll & Bute","At least once a month","14.3","15","-","-","15.9","16.1","11.2","14.7"
"38","2013","Clackmannanshire","At least once a month","16.6","23.8","-","-","24.3","22.4","9.1","20.3"
"39","2013","Dumfries & Galloway","At least once a month","21","21.8","-","-","*","21.4","11.7","21.4"
"40","2013","Dundee City","At least once a month","25.3","23.4","-","-","30.5","23.3","12.7","24.3"
"41","2013","East Ayrshire","At least once a month","22.8","28.3","-","-","*","18.8","24.9","25.7"
"42","2013","East Dunbartonshire","At least once a month","22","23.4","-","-","23","23.7","20.6","22.7"
"43","2013","East Lothian","At least once a month","14.7","19.8","-","-","19.3","17.1","15.3","17.4"
"44","2013","East Renfrewshire","At least once a month","14.7","16.6","-","-","10.6","20.9","12.5","15.7"
"45","2013","Edinburgh, City of","At least once a month","26.3","25.9","-","-","28.3","26.5","19","26.1"
"46","2013","Falkirk","At least once a month","30.9","23.9","-","-","38.7","26.5","10.6","27.3"
"47","2013","Fife","At least once a month","19.5","21","-","-","25.4","19.5","13.9","20.3"
"48","2013","Glasgow City","At least once a month","21.7","20.8","-","-","22.9","22.2","14.5","21.2"
"49","2013","Highland","At least once a month","14.7","13.1","-","-","11.1","16.6","12.4","13.9"
"50","2013","Inverclyde","At least once a month","20.6","20.3","-","-","20.8","23.1","14.9","20.4"
"51","2013","Midlothian","At least once a month","19.3","13.2","-","-","17.5","16.3","13.6","16.1"
"52","2013","Moray","At least once a month","17.9","10.8","-","-","17.5","8.8","20","14.3"
"53","2013","Na h-Eileanan Siar","At least once a month","17.4","16.6","-","-","17.6","17","16.5","17"
"54","2013","North Ayrshire","At least once a month","21.9","15.1","-","-","24.7","17.3","10.5","18.3"
"55","2013","North Lanarkshire","At least once a month","21.2","15.9","-","-","19.5","19.4","14","18.4"
"56","2013","Orkney Islands","At least once a month","6.7","6.6","-","-","0.6","14.2","0.7","6.6"
"57","2013","Perth & Kinross","At least once a month","15","21.8","-","-","21.4","17.5","16.5","18.5"
"58","2013","Renfrewshire","At least once a month","22.5","22.4","-","-","30.8","16","21.2","22.5"
"59","2013","Scotland","At least once a month","20.7","19.6","-","-","23.1","20.3","14.6","20.1"
"60","2013","Scottish Borders","At least once a month","16.7","18.8","-","-","19.5","20.7","10.9","17.8"
"61","2013","Shetland Islands","At least once a month","11.1","12.3","-","-","12.1","10.3","13.8","11.7"
"62","2013","South Ayrshire","At least once a month","17","16.7","-","-","16.5","18.9","13.9","16.9"
"63","2013","South Lanarkshire","At least once a month","23.3","17.2","-","-","25.6","19.8","11.7","20.1"
"64","2013","Stirling","At least once a month","26.3","20.2","-","-","24","21.3","25.1","23.1"
"65","2013","West Dunbartonshire","At least once a month","21.3","21.9","-","-","21.8","27.3","9.1","21.6"
"66","2013","West Lothian","At least once a month","18.8","23.1","-","-","17.3","25.6","17.8","21"
"67","2013","Aberdeen City","At least once a year","18.2","18.4","-","-","24.1","15.2","10.3","18.3"
"68","2013","Aberdeenshire","At least once a year","10.3","6.8","-","-","9.2","8.8","6.9","8.6"
"69","2013","Angus","At least once a year","5.1","17","-","-","7.7","13.7","11.8","11.3"
"70","2013","Argyll & Bute","At least once a year","14.8","15.1","-","-","16.2","16.1","12","15"
"71","2013","Clackmannanshire","At least once a year","29.8","26.5","-","-","13.3","32.8","42.4","28.1"
"72","2013","Dumfries & Galloway","At least once a year","12","14.5","-","-","*","15.8","17.4","13.3"
"73","2013","Dundee City","At least once a year","20.5","31.9","-","-","17.1","38.8","24.5","26.5"
"74","2013","East Ayrshire","At least once a year","16","9.8","-","-","*","14.7","16.8","12.8"
"75","2013","East Dunbartonshire","At least once a year","23.9","26.7","-","-","23.2","25.7","27.7","25.4"
"76","2013","East Lothian","At least once a year","17.5","13.7","-","-","17.8","14.9","13.5","15.5"
"77","2013","East Renfrewshire","At least once a year","6.9","18.1","-","-","15.7","9.3","15.9","12.9"
"78","2013","Edinburgh, City of","At least once a year","17.5","18","-","-","16.6","21.3","13.9","17.8"
"79","2013","Falkirk","At least once a year","19.5","23.3","-","-","12","24.9","29","21.5"
"80","2013","Fife","At least once a year","22","14.9","-","-","13.8","21.5","19.2","18.3"
"81","2013","Glasgow City","At least once a year","18.5","20.3","-","-","20.9","18.6","17.4","19.4"
"82","2013","Highland","At least once a year","7.9","7.8","-","-","10.2","4.1","11.5","7.8"
"83","2013","Inverclyde","At least once a year","16.4","21.1","-","-","21.8","16.9","18.5","18.9"
"84","2013","Midlothian","At least once a year","15.8","19.6","-","-","15.6","17.1","22.4","17.8"
"85","2013","Moray","At least once a year","21.8","18.5","-","-","20.4","18.7","22.2","20.1"
"86","2013","Na h-Eileanan Siar","At least once a year","9.1","16.7","-","-","7","9.2","25.8","13"
"87","2013","North Ayrshire","At least once a year","15.4","19.5","-","-","17.3","15.7","21.3","17.6"
"88","2013","North Lanarkshire","At least once a year","25.4","29","-","-","25.9","29.5","25.1","27.3"
"89","2013","Orkney Islands","At least once a year","2.9","4.4","-","-","5.2","3.1","2.7","3.7"
"90","2013","Perth & Kinross","At least once a year","19.5","6.7","-","-","14.7","6.2","21.9","12.9"
"91","2013","Renfrewshire","At least once a year","18.5","23.7","-","-","17.5","23.9","22.3","21.3"
"92","2013","Scotland","At least once a year","17.1","18.1","-","-","17.1","18.1","17.7","17.6"
